eid	pid	name	entity
0	1	Toy_Story_(1995)	http://dbpedia.org/resource/Toy_Story
1	2	GoldenEye_(1995)	http://dbpedia.org/resource/GoldenEye
2	3	Four_Rooms_(1995)	http://dbpedia.org/resource/Four_Rooms
3	4	Get_Shorty_(1995)	http://dbpedia.org/resource/Get_Shorty_(film)
4	5	Copycat_(1995)	http://dbpedia.org/resource/Copycat_(film)
5	6	Shanghai_Triad_(Yao_a_yao_yao_dao_waipo_qiao)_(1995)	http://dbpedia.org/resource/Shanghai_Triad
6	7	Twelve_Monkeys_(1995)	http://dbpedia.org/resource/12_Monkeys
7	8	Babe_(1995)	http://dbpedia.org/resource/Babe_(film)
8	9	Dead_Man_Walking_(1995)	http://dbpedia.org/resource/Dead_Man_Walking_(film)
9	10	Richard_III_(1995)	http://dbpedia.org/resource/Richard_III_(1995_film)
10	11	Seven_(Se7en)_(1995)	http://dbpedia.org/resource/Seven_(1995_film)
11	12	Usual_Suspects,_The_(1995)	http://dbpedia.org/resource/The_Usual_Suspects
12	13	Mighty_Aphrodite_(1995)	http://dbpedia.org/resource/Mighty_Aphrodite
13	14	Postino,_Il_(1994)	http://dbpedia.org/resource/Il_Postino:_The_Postman
14	15	Mr._Holland's_Opus_(1995)	http://dbpedia.org/resource/Mr._Holland's_Opus
15	16	French_Twist_(Gazon_maudit)_(1995)	http://dbpedia.org/resource/French_Twist_(film)
16	17	From_Dusk_Till_Dawn_(1996)	http://dbpedia.org/resource/From_Dusk_till_Dawn
17	18	White_Balloon,_The_(1995)	http://dbpedia.org/resource/The_White_Balloon
18	19	Antonia's_Line_(1995)	http://dbpedia.org/resource/Antonia's_Line
19	20	Angels_and_Insects_(1995)	http://dbpedia.org/resource/Angels_&_Insects
20	21	Muppet_Treasure_Island_(1996)	http://dbpedia.org/resource/Muppet_Treasure_Island
21	22	Braveheart_(1995)	http://dbpedia.org/resource/Braveheart
22	23	Taxi_Driver_(1976)	http://dbpedia.org/resource/Taxi_Driver
23	24	Rumble_in_the_Bronx_(1995)	http://dbpedia.org/resource/Rumble_in_the_Bronx
24	25	Birdcage,_The_(1996)	http://dbpedia.org/resource/The_Birdcage
25	26	Brothers_McMullen,_The_(1995)	http://dbpedia.org/resource/The_Brothers_McMullen
26	27	Bad_Boys_(1995)	http://dbpedia.org/resource/Bad_Boys_(1995_film)
27	28	Apollo_13_(1995)	http://dbpedia.org/resource/Apollo_13_(film)
28	29	Batman_Forever_(1995)	http://dbpedia.org/resource/Batman_Forever
29	30	Belle_de_jour_(1967)	http://dbpedia.org/resource/Belle_de_Jour_(film)
30	31	Crimson_Tide_(1995)	http://dbpedia.org/resource/Crimson_Tide_(film)
31	32	Crumb_(1994)	http://dbpedia.org/resource/Crumb_(film)
32	33	Desperado_(1995)	http://dbpedia.org/resource/Desperado_(film)
33	34	Doom_Generation,_The_(1995)	http://dbpedia.org/resource/The_Doom_Generation
34	35	Free_Willy_2:_The_Adventure_Home_(1995)	http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home
35	36	Mad_Love_(1995)	http://dbpedia.org/resource/Mad_Love_(1995_film)
36	37	Nadja_(1994)	http://dbpedia.org/resource/Nadja_(film)
37	38	Net,_The_(1995)	http://dbpedia.org/resource/The_Net_(1995_film)
38	41	Billy_Madison_(1995)	http://dbpedia.org/resource/Billy_Madison
39	42	Clerks_(1994)	http://dbpedia.org/resource/Clerks_(film)
40	43	Disclosure_(1994)	http://dbpedia.org/resource/Disclosure_(1994_film)
41	45	Eat_Drink_Man_Woman_(1994)	http://dbpedia.org/resource/Eat_Drink_Man_Woman
42	46	Exotica_(1994)	http://dbpedia.org/resource/Exotica_(film)
43	47	Ed_Wood_(1994)	http://dbpedia.org/resource/Ed_Wood_(film)
