entity_head	relation	entity_tail
0	0	1446
0	0	1447
0	1	1448
0	2	1449
0	2	1450
0	2	1451
0	2	1452
0	2	1453
0	2	1454
0	2	1455
0	4	1456
0	4	1457
0	4	1458
0	4	1459
0	4	1460
0	4	1461
0	4	1462
0	4	1463
0	4	1464
0	4	1465
0	4	1466
0	4	1467
0	4	1468
0	4	1469
0	4	1470
0	4	1471
0	4	1472
0	4	1473
0	4	1474
0	4	1475
0	4	1476
0	4	1477
0	4	1478
0	4	1479
0	4	1480
0	4	1481
0	4	1482
0	4	1483
0	4	1484
0	4	1485
0	4	1486
0	4	1487
0	4	1488
0	4	1489
0	4	1490
0	4	1491
0	4	1492
0	4	1493
0	4	1494
0	4	1495
0	4	1496
0	5	1497
0	5	1498
0	5	1499
0	5	1500
0	5	1501
0	5	1502
0	5	1503
0	5	1504
0	5	1505
0	6	1506
1	0	1507
1	0	1508
1	1	1509
1	1	1510
1	2	1511
1	2	1512
1	2	1513
1	3	1514
1	4	1515
1	4	1516
1	4	1517
1	4	1518
1	4	1519
1	4	1520
1	4	1521
1	4	1522
1	4	1523
1	4	1524
1	4	1525
1	4	1526
1	4	1527
1	4	1528
1	4	1529
1	4	1530
1	4	1531
1	4	1532
1	4	1533
1	4	1534
1	4	1535
1	4	1536
1	4	1537
1	4	1538
1	4	1539
1	4	1540
1	4	1541
1	4	1542
1	4	1543
1	4	1544
1	4	1545
1	4	1546
1	4	1547
1	4	1548
1	4	1549
1	4	1550
1	4	1551
1	4	1552
1	4	1553
1	4	1554
1	4	1555
1	4	1556
1	4	1557
1	4	1558
1	4	1559
1	4	1560
1	4	1561
1	4	1562
1	4	1563
1	4	1564
1	5	1565
1	5	1566
1	5	1567
1	5	1568
1	5	1569
1	6	1570
2	0	1571
2	1	1572
2	2	1573
2	2	1574
2	2	1575
2	2	1576
2	3	1577
2	3	1578
2	3	1579
2	4	1580
2	4	1581
2	4	1582
2	4	1583
2	4	1584
2	4	1585
2	4	1586
2	4	1587
2	4	1588
2	4	1589
2	4	1590
2	4	1591
2	4	1592
2	4	1593
2	4	1594
2	4	1595
2	4	1596
2	4	1597
2	4	1598
2	4	1599
2	4	1600
2	4	1601
2	4	1602
2	4	1603
2	4	1604
2	4	1605
2	5	1606
2	5	1607
2	5	1608
2	5	1609
2	5	1610
2	5	1611
2	5	1612
2	5	1613
2	5	1614
2	5	1615
2	5	1616
2	5	1617
2	6	1618
2	6	1619
2	6	1620
2	6	1621
3	0	1622
3	0	1623
3	0	1624
3	1	1625
3	2	1626
3	3	1627
3	4	1628
3	4	1629
3	4	1630
3	4	1631
3	4	1632
3	4	1633
3	4	1634
3	4	1635
3	4	1636
3	4	1637
3	4	1638
3	4	1639
3	4	1640
3	4	1641
3	4	1642
3	4	1643
3	4	1644
3	4	1645
3	4	1646
3	4	1647
3	5	1648
3	5	1649
3	5	1650
3	5	1651
3	5	1652
3	5	1653
3	5	1654
3	6	1655
4	0	1656
4	0	1657
4	1	1658
4	2	1659
4	3	1660
4	4	1661
4	4	1662
4	4	1663
4	4	1664
4	4	1665
4	4	1666
4	4	1667
4	4	1668
4	4	1669
4	4	1670
4	4	1671
4	4	1672
4	4	1673
4	4	1674
4	4	1675
4	4	1676
4	4	1677
4	4	1678
4	4	1679
4	4	1680
4	4	1681
4	4	1682
4	5	1683
4	5	1684
4	5	1685
4	5	1686
4	5	1687
4	5	1688
4	5	1689
4	5	1690
4	6	1691
5	0	1692
5	0	1693
5	0	1694
5	1	1695
5	2	1696
5	3	1697
5	4	1698
5	4	1699
5	4	1700
5	4	1701
5	4	1702
5	4	1703
5	4	1704
5	4	1705
5	4	1706
5	4	1707
5	5	1708
5	5	1709
5	5	1710
5	5	1711
5	6	1712
6	0	1713
6	1	1714
6	2	1715
6	2	1716
6	3	1717
6	4	1718
6	4	1719
6	4	1720
6	4	1721
6	4	1722
6	4	1723
6	4	1724
6	4	1725
6	4	1726
6	4	1727
6	4	1728
6	4	1729
6	4	1730
6	4	1731
6	4	1732
6	4	1733
6	4	1734
6	4	1735
6	4	1736
6	4	1737
6	4	1738
6	4	1739
6	4	1740
6	4	1741
6	4	1742
6	4	1743
6	4	1744
6	4	1745
6	4	1746
6	4	1747
6	4	1748
6	4	1749
6	4	1750
6	5	1751
6	5	1752
6	5	1753
6	5	1754
6	6	1755
7	0	1756
7	0	1757
7	0	1758
7	1	1759
7	2	1760
7	2	1761
7	3	1762
7	4	1763
7	4	1764
7	4	1765
7	4	1766
7	4	1767
7	4	1768
7	4	1769
7	4	1770
7	4	1771
7	4	1772
7	4	1773
7	4	1774
7	4	1775
7	4	1776
7	4	1777
7	4	1778
7	4	1779
7	4	1780
7	4	1781
7	4	1782
7	4	1783
7	4	1784
7	4	1785
7	4	1786
7	4	1787
7	4	1788
7	4	1789
7	4	1790
7	4	1791
7	4	1792
7	4	1793
7	4	1794
7	4	1795
7	4	1796
7	4	1797
7	4	1798
7	4	1799
7	5	1800
7	5	1801
7	6	1802
8	0	1803
8	0	1804
8	1	1805
8	2	1806
8	3	1807
8	4	1808
8	4	1809
8	4	1810
8	4	1811
8	4	1812
8	4	1813
8	4	1814
8	4	1815
8	4	1816
8	4	1817
8	4	1818
8	4	1819
8	4	1820
8	4	1821
8	4	1822
8	4	1823
8	4	1824
8	4	1825
8	5	1826
8	5	1827
8	5	1828
8	5	1829
8	5	1830
8	5	1831
8	6	1832
9	0	1833
9	0	1834
9	1	1835
9	2	1836
9	2	1837
9	3	1838
9	4	1839
9	4	1840
9	4	1841
9	4	1842
9	4	1843
9	4	1844
9	4	1845
9	4	1846
9	4	1847
9	4	1848
9	4	1849
9	4	1850
9	4	1851
9	4	1852
9	4	1853
9	4	1854
9	5	1855
9	5	1856
9	5	1857
9	5	1858
9	5	1859
9	5	1860
9	5	1861
9	5	1862
9	6	1863
10	1	1864
10	2	1865
10	3	1866
10	4	1867
10	4	1868
10	4	1869
10	4	1870
10	4	1871
10	4	1872
10	4	1873
10	4	1874
10	4	1875
10	4	1876
10	4	1877
10	4	1878
10	4	1879
10	4	1880
10	4	1881
10	4	1882
10	4	1883
10	4	1884
10	4	1885
10	4	1886
10	4	1887
10	4	1888
10	4	1889
10	4	1890
10	4	1891
10	4	1892
10	4	1893
10	4	1894
10	6	1895
11	4	1896
11	4	1897
11	4	1898
11	4	1899
11	4	1900
11	4	1901
11	4	1902
11	4	1903
11	4	1904
11	4	1905
11	4	1906
11	4	1907
11	4	1908
11	4	1909
11	4	1910
11	4	1911
